"DisplayCategory","ProductHeaderCode","ProductHeader","PHOrder","effective_date","price","sale_location_code","SaleLoc","RowError","RowState","Table","ItemArray","HasErrors","SideIndicator","SourceFile"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/14/2023 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/15/2023 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/16/2023 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/17/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/18/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/19/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/20/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/21/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/22/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/23/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/24/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/25/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/26/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/27/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/28/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/29/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/30/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","12/31/2023 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/01/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/02/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/03/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/04/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/05/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/06/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/07/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/08/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/09/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/10/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/11/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/12/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/13/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/14/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/15/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/16/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/17/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/18/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/19/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/20/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/21/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/22/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/23/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/24/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/25/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/26/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/27/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/28/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/29/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/30/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","01/31/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/01/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/02/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/03/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/04/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/05/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/06/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/07/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/08/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/09/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/10/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/11/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/12/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/13/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/14/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/15/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/16/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/17/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/18/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/19/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/20/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/21/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/22/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/23/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/24/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/25/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/26/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/27/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/28/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","02/29/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/01/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/02/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/03/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/04/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/05/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/06/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/07/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/08/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/09/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/10/2024 12:00:00 AM","890","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/11/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/12/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/13/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/14/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/15/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/16/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/17/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/18/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/19/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/20/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/21/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/22/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/23/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/24/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/25/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/26/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/27/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/28/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/29/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/30/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","03/31/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/01/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/02/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/03/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/04/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/05/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/06/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/07/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/08/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/09/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
"SS: HV Private ADV/WEB","51403","HV SB 3H Private 9:30AM -WEB","3010","04/10/2024 12:00:00 AM","760","26010","D: Autopost Location","","Unchanged","","System.Object[]","False","<=","2024-02-17-PrivateRateIncrease.xlsx"
